term	n	Group	Umbrella
childhood cerebral degenerations nos	1	Ataxic disorders	Ataxic disorders
complex partial epileptic seizure	459	Epilepsy	Epilepsy or seizures
complex partial status epilepticus	37	Epilepsy	Epilepsy or seizures
congenital hydrocephalus	40	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
congenital hydrocephalus nos	5	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
contraceptiv advice for patients with epilepsy not indicated	612	Epilepsy	Epilepsy or seizures
contraceptive advice for patients on valproate for epilepsy	9	Epilepsy	Epilepsy or seizures
contraceptive advice for patients with epilepsy declined	75	Epilepsy	Epilepsy or seizures
daily seizures	305	Epilepsy	Epilepsy or seizures
drug induced parkinsonism	296	Parkinson's Disease	Parkinsonism other
drug-induced chorea	1	Chorea	Movement disorders other
encephalopathy - hepatic	149	Exclude	Exclude
epilepsy	35721	Epilepsy	Epilepsy or seizures
epilepsy associated problems	61	Epilepsy	Epilepsy or seizures
epilepsy care arrangement	34	Epilepsy	Epilepsy or seizures
epilepsy confirmed	49	Epilepsy	Epilepsy or seizures
epilepsy control good	470	Epilepsy	Epilepsy or seizures
epilepsy control poor	110	Epilepsy	Epilepsy or seizures
epilepsy drug side effects	302	Epilepsy	Epilepsy or seizures
epilepsy limits activities	22	Epilepsy	Epilepsy or seizures
epilepsy management plan given	313	Epilepsy	Epilepsy or seizures
epilepsy medication review	28476	Epilepsy	Epilepsy or seizures
epilepsy monitoring	10803	Epilepsy	Epilepsy or seizures
epilepsy monitoring administration	8	Epilepsy	Epilepsy or seizures
epilepsy monitoring call first letter	622	Epilepsy	Epilepsy or seizures
epilepsy monitoring call second letter	169	Epilepsy	Epilepsy or seizures
epilepsy monitoring nos	327	Epilepsy	Epilepsy or seizures
epilepsy monitoring telephone invite	51	Epilepsy	Epilepsy or seizures
epilepsy monitoring verbal invite	33	Epilepsy	Epilepsy or seizures
epilepsy nos	1904	Epilepsy	Epilepsy or seizures
epilepsy prevents employment	11	Epilepsy	Epilepsy or seizures
epilepsy restricts employment	14	Epilepsy	Epilepsy or seizures
epilepsy treatment changed	584	Epilepsy	Epilepsy or seizures
epilepsy treatment compliance good	21	Epilepsy	Epilepsy or seizures
epilepsy treatment continued	54	Epilepsy	Epilepsy or seizures
epilepsy treatment started	166	Epilepsy	Epilepsy or seizures
epilepsy treatment stopped	92	Epilepsy	Epilepsy or seizures
epileptic absences	121	Epilepsy	Epilepsy or seizures
epileptic automatism	7	Epilepsy	Epilepsy or seizures
epileptic seizures - akinetic	13	Epilepsy	Epilepsy or seizures
epileptic seizures - atonic	31	Epilepsy	Epilepsy or seizures
epileptic seizures - clonic	219	Epilepsy	Epilepsy or seizures
epileptic seizures - myoclonic	68	Epilepsy	Epilepsy or seizures
epileptic seizures - tonic	359	Epilepsy	Epilepsy or seizures
exacerbation of multiple sclerosis	99	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
exception reporting: epilepsy quality indicators	142	Epilepsy	Epilepsy or seizures
extrapyramidal disease excluding parkinson's disease	25	Movement disorders	Movement disorders other
fit (in known epileptic) nos	748	Epilepsy	Epilepsy or seizures
focal epilepsy	302	Epilepsy	Epilepsy or seizures
follow-up epilepsy assessment	1346	Epilepsy	Epilepsy or seizures
fragile x associated tremor ataxia syndrome	4	Ataxic disorders	Ataxic disorders
friedreich's ataxia	107	Ataxic disorders	Ataxic disorders
generalised convulsive epilepsy	511	Epilepsy	Epilepsy or seizures
generalised convulsive epilepsy nos	32	Epilepsy	Epilepsy or seizures
generalised multiple sclerosis	34	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
generalised nonconvulsive epilepsy	80	Epilepsy	Epilepsy or seizures
generalised nonconvulsive epilepsy nos	5	Epilepsy	Epilepsy or seizures
generalised seizure	143	Epilepsy	Epilepsy or seizures
grand mal (major) epilepsy	3957	Epilepsy	Epilepsy or seizures
grand mal seizure	1211	Epilepsy	Epilepsy or seizures
grand mal status	191	Epilepsy	Epilepsy or seizures
h/o: epilepsy	1558	Epilepsy	Epilepsy or seizures
hemiballismus	27	Chorea	Movement disorders other
history of parkinson's disease	37	Parkinson's Disease	Parkinson's Disease
honos-ld item 13 - seizures	9	Epilepsy	Epilepsy or seizures
huntington's chorea	723	Huntington/Chorea	Movement disorders other
hydrocephalus	399	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
hypertensive encephalopathy	37	Exclude	Exclude
infantile spasms	22	Epilepsy	Epilepsy or seizures
"jacksonian, focal or motor epilepsy"	50	Epilepsy	Epilepsy or seizures
juvenile absence epilepsy	31	Epilepsy	Epilepsy or seizures
juvenile myoclonic epilepsy	98	Epilepsy	Epilepsy or seizures
lightning spasms	2	Epilepsy	Epilepsy or seizures
locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset	18	Epilepsy	Epilepsy or seizures
locomotor ataxia	11	Ataxic disorders	Ataxic disorders
lumbar spina bifida without mention of hydrocephalus	3	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
management of multiple sclerosis in stable disability phase	5	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
many seizures a day	71	Epilepsy	Epilepsy or seizures
marie's cerebellar ataxia	4	Ataxic disorders	Ataxic disorders
"mitochond encephalopathy, lact acidosis & strokelike episode"	2	Exclude	Exclude
multiple sclerosis	9304	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis - primary progressive	43	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis - relapsing remitting	61	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis - secondary progressive	27	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis care plan agreed	25	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis multidisciplinary review	19	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis nos	266	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis of the brain stem	27	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis review	154	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
"multiple system atrophy, cerebellar variant"	3	Disorders of autonomic nervous system	Disorders of autonomic nervous system
"multiple system atrophy, parkinson variant"	1	Disorders of autonomic nervous system	Disorders of autonomic nervous system
myelocele with hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
myoclonic encephalopathy	2	Exclude	Exclude
myoclonic seizure	53	Epilepsy	Epilepsy or seizures
neonatal myoclonic epilepsy	3	Epilepsy	Epilepsy or seizures
neuromyelitis optica	8	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
nocturnal epilepsy	225	Epilepsy	Epilepsy or seizures
normal pressure hydrocephalus	98	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
o/e - parkinson posture	29	Parkinson's Disease	Parkinson's Disease
o/e - parkinsonian tremor	529	Parkinson's Disease	Parkinson's Disease
o/e-festination-parkinson gait	10	Parkinson's Disease	Parkinson's Disease
ohtahara syndrome	2	Epilepsy	Epilepsy or seizures
other central nervous system demyelinating diseases	85	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
other choreas	31	Huntington/Chorea	Movement disorders other
other choreas nos	27	Huntington/Chorea	Movement disorders other
other forms of epilepsy	22	Epilepsy	Epilepsy or seizures
other forms of epilepsy nos	9	Epilepsy	Epilepsy or seizures
other specified central nervous system demyelinating disease	8	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
other specified central nervous system demyelination nos	10	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
other specified generalised nonconvulsive epilepsy	3	Epilepsy	Epilepsy or seizures
paralysis agitans	388	Parkinson's Disease	Parkinson's Disease
parkinsonism secondary to drugs	115	Parkinson's Disease	Parkinsonism other
parkinsonism with orthostatic hypotension	13	Parkinson's Disease	Parkinsonism other
parkinson's disease	14369	Parkinson's Disease	Parkinson's Disease
parkinson's disease nos	1066	Parkinson's Disease	Parkinson's Disease
paroxysmal choreo-athetosis	15	Dystonic disorders	Movement disorders other
partial epilepsy	59	Epilepsy	Epilepsy or seizures
partial epilepsy with impairment of consciousness	74	Epilepsy	Epilepsy or seizures
partial epilepsy without impairment of consciousness	152	Epilepsy	Epilepsy or seizures
partial epilepsy without impairment of consciousness os	25	Epilepsy	Epilepsy or seizures
peroneal muscular atrophy	110	Hereditary neuropathy	"Disorders of nerve root, plexus or peripheral nerves"
petit mal (minor) epilepsy	1050	Epilepsy	Epilepsy or seizures
petit mal status	21	Epilepsy	Epilepsy or seizures
photosensitive epilepsy	16	Epilepsy	Epilepsy or seizures
postencephalitic parkinsonism	2	Parkinson's Disease	Parkinsonism other
post-ictal state	111	Epilepsy	Epilepsy or seizures
pre-conception advice for patients with epilepsy	1382	Epilepsy	Epilepsy or seizures
pre-conception advice for patients with epilepsy declined	67	Epilepsy	Epilepsy or seizures
pregnancy advice for patients with epilepsy	1391	Epilepsy	Epilepsy or seizures
pregnancy advice for patients with epilepsy declined	58	Epilepsy	Epilepsy or seizures
primary cerebellar degeneration	27	Ataxic disorders	Ataxic disorders
primary cerebellar degeneration nos	18	Ataxic disorders	Ataxic disorders
primary progressive multiple sclerosis	18	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
progressive multifocal leucoencephalopathy	5	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
progressive multifocal leukoencephalopathy	3	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
progressive myoclonic epilepsy	11	Epilepsy	Epilepsy or seizures
progressive supranuclear palsy	109	Parkinson's Disease	Parkinson's Disease
pseudobulbar palsy	111	MND	Motor neuron diseases or related disorders
psychosensory epilepsy	4	Epilepsy	Epilepsy or seizures
rachischisis with hydrocephalus	2	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
reason for referral: epilepsy	2	Epilepsy	Epilepsy or seizures
reason for referral: parkinsons disease	4	Parkinson's Disease	Parkinson's Disease
referral by multiple sclerosis nurse specialist	3	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
referral to community multiple sclerosis team	16	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
relapsing and remitting multiple sclerosis	136	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
rheumatic chorea	28	Huntington/Chorea	Movement disorders other
sacral spina bifida without hydrocephalus - closed	2	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
"secondary parkinsonism, unspecified"	111	Parkinson's Disease	Parkinsonism other
secondary progressive multiple sclerosis	46	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
seen by parkinson's service	6	Parkinson's Disease	Parkinson's Disease
seizure free >12 months	15149	Epilepsy	Epilepsy or seizures
simple partial epileptic seizure	80	Epilepsy	Epilepsy or seizures
spec serv for pat with multiple sclerosis - enh serv admin	9	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
spina bifida with hydrocephalus	43	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida with hydrocephalus - open nos	2	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida with hydrocephalus nos	4	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
"spina bifida with hydrocephalus, unspecified"	10	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida without mention of hydrocephalus	15	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
spinal demyelination	13	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
spinal muscular atrophy	59	Spinal muscular atrophy	Motor neuron diseases or related disorders
spinal muscular atrophy nos	5	Spinal muscular atrophy	Motor neuron diseases or related disorders
spinocerebellar disease	48	Ataxic disorders	Ataxic disorders
spinocerebellar disease nos	4	Ataxic disorders	Ataxic disorders
status epilepticus	189	Epilepsy	Epilepsy or seizures
"status epilepticus, unspecified"	37	Epilepsy	Epilepsy or seizures
sydenham's chorea	23	Huntington/Chorea	Movement disorders other
temporal lobe epilepsy	1293	Epilepsy	Epilepsy or seizures
thoracolumbar spina bifida with hydrocephalus - closed	2	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
tonic-clonic epilepsy	379	Epilepsy	Epilepsy or seizures
toxic encephalopathy	4	Exclude	Exclude
transient epileptic amnesia	5	Epilepsy	Epilepsy or seizures
transverse myelitis	372	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
traumatic epilepsy	226	Epilepsy	Epilepsy or seizures
tremors/seizures	38	Epilepsy	Epilepsy or seizures
truncal ataxia	2	Ataxic disorders	Ataxic disorders
unspecified encephalopathy	163	Exclude	Exclude
visual reflex epilepsy	3	Epilepsy	Epilepsy or seizures
wernicke's encephalopathy	84	Exclude	Exclude
west syndrome	3	Epilepsy	Epilepsy or seizures
[rfc] epilepsy/convulsion	1	Epilepsy	Epilepsy or seizures
[x] adverse react to anticonvulsants & anti-parkinsons drugs	1	Exclude	Exclude
[x]limbic epilepsy personality	1	Epilepsy	Epilepsy or seizures
"[x]post-traumatic hydrocephalus, unspecified"	4	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
[x]unspecified spina bifida with hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
acquired hydrocephalus of newborn	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
"acute disseminated demyelination, unspecified"	4	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
adult spinal muscular atrophy	1	Spinal muscular atrophy	Motor neuron diseases or related disorders
adverse reaction to antiparkinsonism drugs	1	Exclude	Exclude
adverse reaction to antiparkinsonism drugs nos	1	Exclude	Exclude
amyotrophic lateral sclerosis drugs band 1	1	MND	Motor neuron diseases or related disorders
amyotrophic lateral sclerosis functional rating scale - rvsd	1	MND	Motor neuron diseases or related disorders
anticonvulsant or antiparkinsonian drug poisoning nos	1	Exclude	Exclude
ataxia-telangiectasia	3	Ataxic disorders	Ataxic disorders
cerebellar ataxia in diseases ec	2	Ataxic disorders	Ataxic disorders
communicating hydrocephalus - acquired nos	2	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
emergency epilepsy treatment since last appointment	12	Epilepsy	Epilepsy or seizures
epilepsy monitoring in primary care	13	Epilepsy	Epilepsy or seizures
epilepsy monitoring in secondary care	28	Epilepsy	Epilepsy or seizures
epilepsy severity	9	Epilepsy	Epilepsy or seizures
epilepsy treatment compliance poor	4	Epilepsy	Epilepsy or seizures
fissured spine with hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
gelastic epilepsy	1	Epilepsy	Epilepsy or seizures
h/o: seizures	1	Epilepsy	Epilepsy or seizures
history of creutzfeldt-jakob disease	1	Human prion disorders	Dementia
history of suspected creutzfeldt-jakob disease	1	Human prion disorders	Dementia
hydrocephalus with atresia of foramina of magendie+luschka	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
hypsarrhythmia	2	Epilepsy	Epilepsy or seizures
infantile spasms nos	1	Epilepsy	Epilepsy or seizures
infantile spinal muscular atrophy	1	Spinal muscular atrophy	Motor neuron diseases or related disorders
initial epilepsy assessment	5	Epilepsy	Epilepsy or seizures
juvenile spinal muscular atrophy	1	Spinal muscular atrophy	Motor neuron diseases or related disorders
kojevnikov's epilepsy	1	Epilepsy	Epilepsy or seizures
lennox-gastaut syndrome	3	Epilepsy	Epilepsy or seizures
limbic system epilepsy	2	Epilepsy	Epilepsy or seizures
lindop parkinson's assessment scale - bed mobility score	1	Parkinson's Disease	Parkinson's Disease
lindop parkinson's assessment scale - gait mobility score	1	Parkinson's Disease	Parkinson's Disease
low pressure hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
lumbar spina bifida with hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
lumbar spina bifida with hydrocephalus - closed	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
lumbar spina bifida with hydrocephalus - open	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
lumbar spina bifida without hydrocephalus - closed	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
lumbar spina bifida without hydrocephalus - open	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
management of multiple sclerosis in early disease phase	2	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
management of multiple sclerosis in onset phase	1	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
management of multiple sclerosis in palliative phase	1	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
menstrual epilepsy	1	Epilepsy	Epilepsy or seizures
motor epilepsy	43	Epilepsy	Epilepsy or seizures
multiple sclerosis - personal health plan	1	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis monitoring first letter	3	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
multiple sclerosis of the spinal cord	1	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
neuropathy in association with hereditary ataxia	1	Ataxic disorders	Ataxic disorders
o/e -parkinson flexion posture	1	Parkinson's Disease	Parkinson's Disease
other specified generalised convulsive epilepsy	2	Epilepsy	Epilepsy or seizures
other specified spina bifida with hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
other specified spina bifida without hydrocephalus	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
other spinocerebellar disease nos	1	Ataxic disorders	Ataxic disorders
other spinocerebellar diseases	1	Ataxic disorders	Ataxic disorders
otohara syndrome	1	Epilepsy	Epilepsy or seizures
panayiotopoulos syndrome	1	Epilepsy	Epilepsy or seizures
partial epilepsy with autonomic symptoms	1	Epilepsy	Epilepsy or seizures
partial epilepsy with impairment of consciousness nos	60	Epilepsy	Epilepsy or seizures
partial epilepsy without impairment of consciousness nos	10	Epilepsy	Epilepsy or seizures
polyneuropathy in beriberi	1	Polyneuropathy	"Disorders of nerve root, plexus or peripheral nerves"
"post-traumatic hydrocephalus, unspecified"	4	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
progressive muscular atrophy	1	MND	Motor neuron diseases or related disorders
psychomotor epilepsy	1	Epilepsy	Epilepsy or seizures
pykno-epilepsy	1	Epilepsy	Epilepsy or seizures
referral by parkinsons disease nurse specialist	2	Parkinson's Disease	Parkinson's Disease
rheumatic chorea nos	1	Huntington/Chorea	Movement disorders other
rheumatic chorea with heart involvement	1	Huntington/Chorea	Movement disorders other
rheumatic chorea without mention of heart involvement	1	Huntington/Chorea	Movement disorders other
sacral spina bifida with hydrocephalus - closed	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
sacral spina bifida with hydrocephalus - open	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
sacral spina bifida without hydrocephalus - open	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
salaam attacks	4	Epilepsy	Epilepsy or seizures
schilder's disease	1	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
sensory induced epilepsy	1	Epilepsy	Epilepsy or seizures
severe myoclonic epilepsy in infancy	1	Epilepsy	Epilepsy or seizures
somatosensory epilepsy	1	Epilepsy	Epilepsy or seizures
spina bifida with hydrocephalus - closed	6	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida with hydrocephalus - open	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida with hydrocephalus of late onset	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida without hydrocephalus - closed	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida without hydrocephalus - closed nos	2	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida without hydrocephalus - open	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida without hydrocephalus - open nos	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
"spina bifida without hydrocephalus, site unspecified"	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
spina bifida without mention of hydrocephalus nos	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
stress-induced epilepsy	3	Epilepsy	Epilepsy or seizures
sudep - sudden unexpected death in epilepsy	1	Epilepsy	Epilepsy or seizures
syphilitic parkinsonism	1	Parkinson's Disease	Parkinsonism other
thoracic spina bifida with hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
thoracic spina bifida with hydrocephalus - open	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
thoracic spina bifida without hydrocephalus - open	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
thoracic spina bifida without mention of hydrocephalus	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
unilateral epilepsy	1	Epilepsy	Epilepsy or seizures
unspecified spina bifida with hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
unspecified spina bifida without hydrocephalus - closed	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
unspecified spina bifida without hydrocephalus nos	1	Spina bifida	Structural developmental anomalies or disorders of CSF fluid pressure
unspecified spinal muscular atrophy	1	Spinal muscular atrophy	Motor neuron diseases or related disorders
variant creutzfeldt-jakob disease	1	Human prion disorders	Dementia
varicella transverse myelitis	1	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
visceral reflex epilepsy	4	Epilepsy	Epilepsy or seizures
x-linked hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
"""[x] senile dementia, depressed or paranoid type"""	7	Dementia unknown/unspecified/other	Dementia
"""[x]dementia in alzheimer's dis, atypical or mixed type"""	61	Alzheimer's disease	Dementia
"""[x]dementia in alzheimer's disease, unspecified"""	19	Alzheimer's disease	Dementia
"""[x]presenile dementia,alzheimer's type"""	1	Alzheimer's disease	Dementia
"""[x]primary degen dementia of alzheimer's type, senile onset"""	2	Alzheimer's disease	Dementia
"""[x]senile dementia,alzheimer's type"""	13	Alzheimer's disease	Dementia
"""[x]vascular dementia, unspecified"""	11	Vascular dementia	Dementia
"""acute confusional state, of cerebrovascular origin"""	1	Cerebrovascular disease	Cerebrovascular disease
"""cereb infarct due cerebral venous thrombosis, nonpyogenic"""	4	Cerebral ischaemia	Cerebrovascular disease
"""hyperten, abnorm renal/liver funct, stroke, bled score"""	297	Exclude	Exclude
"""intracerebral haemorrhage in hemisphere, unspecified"""	1	Intracranial haemorrhage	Cerebrovascular disease
