"","term","Group","Umbrella","OriginalReadCode","CleansedReadCode"
"29","[x] presenile dementia nos","Dementia unknown/unspecified/other","Dementia","Eu02z-1","Eu02z11"
"30","[x] primary degenerative dementia nos","Dementia unknown/unspecified/other","Dementia","Eu02z-3","Eu02z13"
"31","[x] senile dementia nos","Dementia unknown/unspecified/other","Dementia","Eu02z-4","Eu02z14"
"32","[x] senile dementia, depressed or paranoid type","Dementia unknown/unspecified/other","Dementia","Eu02z-6","Eu02z16"
"33","[x] senile dementia, depressed or paranoid type","Dementia unknown/unspecified/other","Dementia","Eu02z-6","Eu02z16"
"34","[x] unspecified dementia","Dementia unknown/unspecified/other","Dementia","Eu02z","Eu02z00"
"35","[x]acquired aphasia with epilepsy [landau - kleffner]","Epilepsy","Epilepsy or seizures","Eu803","Eu80300"
"36","[x]acute disseminated demyelination, unspecified","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","Fyu42","Fyu4200"
"37","[x]alzheimers dementia unspec","Alzheimer's disease","Dementia","Eu00z-1","Eu00z11"
"38","[x]alzheimers disease type 1","Alzheimer's disease","Dementia","Eu001-1","Eu00111"
"39","[x]arteriosclerotic dementia","Cerebrovascular dementia","Dementia","Eu01-1","Eu01.11"
"40","[x]cereb infarct due unsp occlus/stenos precerebr arteries","Cerebral ischaemia","Cerebrovascular disease","Gyu6G","Gyu6G00"
"41","[x]cerebral palsy and other paralytic syndromes","Cerebral palsy","Cerebral palsy","Fyu9","Fyu9.00"
"42","[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","Cerebral ischaemia","Cerebrovascular disease","Gyu63","Gyu6300"
"43","[x]cerebrovascular diseases","Cerebrovascular disease","Cerebrovascular disease","Gyu6","Gyu6.00"
"44","[x]delirium not superimposed on dementia, so described","Exclude","Exclude","Eu040","Eu04000"
"45","[x]delirium superimposed on dementia","Dementia unknown/unspecified/other","Dementia","Eu041","Eu04100"
"46","[x]dementia in alzheimers dis, atypical or mixed type","Alzheimer's disease","Dementia","Eu002","Eu00200"
"47","[x]dementia in alzheimers dis, atypical or mixed type","Alzheimer's disease","Dementia","Eu002","Eu00200"
"48","[x]dementia in alzheimers disease","Alzheimer's disease","Dementia","Eu00","Eu00.00"
"49","[x]dementia in alzheimers disease with early onset","Alzheimer's disease","Dementia","Eu000","Eu00000"
"50","[x]dementia in alzheimers disease with late onset","Alzheimer's disease","Dementia","Eu001","Eu00100"
"51","[x]dementia in alzheimers disease, unspecified","Alzheimer's disease","Dementia","Eu00z","Eu00z00"
"52","[x]dementia in alzheimers disease, unspecified","Alzheimer's disease","Dementia","Eu00z","Eu00z00"
"53","[x]dementia in human immunodef virus [hiv] disease","Dementia unknown/unspecified/other","Dementia","Eu024","Eu02400"
"54","[x]dementia in huntingtons disease","Dementia unknown/unspecified/other","Dementia","Eu022","Eu02200"
"55","[x]dementia in other diseases classified elsewhere","Dementia unknown/unspecified","Dementia","Eu02","Eu02.00"
"56","[x]dementia in other specified diseases classif elsewhere","Dementia unknown/unspecified","Dementia","Eu02y","Eu02y00"
"57","[x]dementia in parkinsons disease","Parkinson's Disease","Parkinson's Disease","Eu023","Eu02300"
"58","[x]dementia in picks disease","Dementia unknown/unspecified/other","Dementia","Eu020","Eu02000"
"59","[x]demyelinating diseases of the central nervous system","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","Fyu4","Fyu4.00"
"60","[x]epileptic psychosis nos","Epilepsy","Epilepsy or seizures","Eu05y-1","Eu05y11"
"61","[x]intracerebral haemorrhage in hemisphere, unspecified","Intracranial haemorrhage","Cerebrovascular disease","Gyu6F","Gyu6F00"
"62","[x]lewy body dementia","Lewy body dementia","Dementia","Eu025","Eu02500"
"63","[x]limbic epilepsy personality","Epilepsy","Epilepsy or seizures","Eu060-3","Eu06013"
"64","[x]mixed cortical and subcortical vascular dementia","Vascular dementia","Dementia","Eu013","Eu01300"
"65","[x]multi-infarct dementia","Vascular dementia","Dementia","Eu011","Eu01100"
"66","[x]oth unspec antiepileptics caus adverse eff in therap use","Epilepsy","Epilepsy or seizures","U6066","U606600"
"67","[x]other alzheimers disease","Alzheimer's disease","Dementia","Fyu30","Fyu3000"
"68","[x]other cerebral infarction","Cerebral ischaemia","Cerebrovascular disease","Gyu64","Gyu6400"
"69","[x]other chorea","Huntington/Chorea","Movement disorders other","Fyu26","Fyu2600"
"70","[x]other congenital hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","Pyu01","Pyu0100"
"71","[x]other drug-induced secondary parkinsonism","Parkinson's Disease","Parkinsonism other","Fyu20","Fyu2000"
"72","[x]other epilepsy","Epilepsy","Epilepsy or seizures","Fyu51","Fyu5100"
"73","[x]other generalized epilepsy and epileptic syndromes","Epilepsy","Epilepsy or seizures","Fyu50","Fyu5000"
"74","[x]other hereditary ataxias","Ataxic disorders","Ataxic disorders","Fyu10","Fyu1000"
"75","[x]other hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","FyuA1","FyuA100"
"76","[x]other intracerebral haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","Gyu62","Gyu6200"
"77","[x]other secondary parkinsonism","Parkinson's Disease","Parkinsonism other","Fyu21","Fyu2100"
"78","[x]other specified acute disseminated demyelination","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","Fyu40","Fyu4000"
"79","[x]other specified demyelinating diseases/the cns","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","Fyu41","Fyu4100"
"80","[x]other status epilepticus","Epilepsy","Epilepsy or seizures","Fyu52","Fyu5200"
"81","[x]other subarachnoid haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","Gyu61","Gyu6100"
"82","[x]other vascular dementia","Vascular dementia","Dementia","Eu01y","Eu01y00"
"83","[x]other vascular syndroms/brain in cerebrovasculr diseases","Cerebral ischaemia","Cerebrovascular disease","Fyu57","Fyu5700"
"84","[x]parkinsonism in diseases classified elsewhere","Parkinson's Disease","Parkinsonism other","Fyu22","Fyu2200"
"85","[x]post-traumatic hydrocephalus, unspecified","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","FyuAG","FyuAG00"
"86","[x]predominantly cortical dementia","Dementia unknown/unspecified/other","Dementia","Eu011-1","Eu01111"
"87","[x]presenile dementia,alzheimers type","Alzheimer's disease","Dementia","Eu000-1","Eu00011"
"88","[x]presenile dementia,alzheimers type","Alzheimer's disease","Dementia","Eu000-1","Eu00011"
"89","[x]primary degen dementia of alzheimers type, senile onset","Alzheimer's disease","Dementia","Eu001-3","Eu00113"
"90","[x]primary degen dementia of alzheimers type, senile onset","Alzheimer's disease","Dementia","Eu001-3","Eu00113"
"91","[x]primary degen dementia, alzheimers type, presenile onset","Alzheimer's disease","Dementia","Eu000-2","Eu00012"
"92","[x]secondary parkinsonism, unspecified","Parkinson's Disease","Parkinsonism other","Fyu29","Fyu2900"
"93","[x]senile dementia,alzheimers type","Alzheimer's disease","Dementia","Eu001-2","Eu00112"
"94","[x]senile dementia,alzheimers type","Alzheimer's disease","Dementia","Eu001-2","Eu00112"
"95","[x]status epilepticus, unspecified","Epilepsy","Epilepsy or seizures","Fyu59","Fyu5900"
"96","[x]subarachnoid haemorrh from intracranial artery, unspecif","Intracranial haemorrhage","Cerebrovascular disease","Gyu6E","Gyu6E00"
"97","[x]subarachnoid haemorrhage from other intracranial arteries","Intracranial haemorrhage","Cerebrovascular disease","Gyu60","Gyu6000"
"98","[x]subcortical vascular dementia","Vascular dementia","Dementia","Eu012","Eu01200"
"99","[x]unspecified spina bifida with hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","Pyu04","Pyu0400"
"100","[x]vascular dementia","Vascular dementia","Dementia","Eu01","Eu01.00"
"101","[x]vascular dementia of acute onset","Vascular dementia","Dementia","Eu010","Eu01000"
"102","[x]vascular dementia, unspecified","Vascular dementia","Dementia","Eu01z","Eu01z00"
"103","[x]vascular dementia, unspecified","Vascular dementia","Dementia","Eu01z","Eu01z00"
"104","1 to 12 seizures a year","Epilepsy","Epilepsy or seizures","667Q","667Q.00"
"105","1 to 7 seizures a week","Epilepsy","Epilepsy or seizures","667S","667S.00"
"106","2 to 4 seizures a month","Epilepsy","Epilepsy or seizures","667R","667R.00"
"107","absence seizure","Epilepsy","Epilepsy or seizures","2828","2828.00"
"108","acquired communicating hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F113","F113.00"
"109","acquired hydrocephalus of newborn","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","Q48H",""
"110","acquired obstructive hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F114","F114.00"
"111","acute cerebrovascular insufficiency nos","Cerebral ischaemia","Cerebrovascular disease","G6710","G671000"
"112","acute confusional state, of cerebrovascular origin","Cerebrovascular disease","Cerebrovascular disease","E0304","E030400"
"113","acute confusional state, of cerebrovascular origin","Cerebral ischaemia","Cerebrovascular disease","E0304","E030400"
"114","acute disseminated demyelination, unspecified","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F21X","F21X.00"
"115","acute flaccid paralysis","Paralytic symptoms","Paralysis","JHCAC3",""
"116","acute radial nerve palsy","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","F3430","F343000"
"117","admission to stroke unit","Cerebral ischaemia","Cerebrovascular disease","8Hd6","8Hd6.00"
"118","adult spinal muscular atrophy","Spinal muscular atrophy","Motor neuron diseases or related disorders","F1512","F151200"
"119","adverse reaction to antiepileptics","Epilepsy","Epilepsy or seizures","ALLERGY4.8",""
"120","adverse reaction to antiparkinsonism drugs","Exclude","Exclude","TJ64","TJ64.00"
"121","adverse reaction to antiparkinsonism drugs nos","Exclude","Exclude","TJ64z","TJ64z00"
"122","adverse reaction to drugs used in control of epilepsy","Epilepsy","Epilepsy or seizures","ALLERGY4.8.1",""
"123","alzheimers disease","Alzheimer's disease","Dementia","F110","F110.00"
"124","alzheimers disease with early onset","Alzheimer's disease","Dementia","F1100","F110000"
"125","alzheimers disease with late onset","Alzheimer's disease","Dementia","F1101","F110100"
"126","amyotrophic lateral sclerosis","MND","Motor neuron diseases or related disorders","F1520","F152000"
"127","amyotrophic lateral sclerosis drugs band 1","MND","Motor neuron diseases or related disorders","7Q041","7Q04100"
"128","amyotrophic lateral sclerosis functional rating scale - rvsd","MND","Motor neuron diseases or related disorders","38VT",""
"129","annual stroke/cva blood test","Exclude","Exclude","EMISNQAN3",""
"130","anoxic - ischaemic encephalopathy","Cerebrovascular disease","Cerebrovascular disease","F281-1","F281.11"
"131","anterior horn cell disease","MND","Motor neuron diseases or related disorders","F15","F15..00"
"132","anterior horn cell disease nos","MND","Motor neuron diseases or related disorders","F15z","F15z.00"
"133","anticonvulsant or antiparkinsonian drug poisoning nos","Exclude","Exclude","SL6z","SL6z.00"
"134","antiparkinsonian drug poisoning nos","Exclude","Exclude","SL6yz","SL6yz00"
"135","antiparkinsonism drug poisoning","Exclude","Exclude","SL6y","SL6y.00"
"136","antipsychotic drug therapy for dementia","Dementia unknown/unspecified/other","Dementia","8BPa","8BPa.00"
"137","arteriosclerotic dementia","Vascular dementia","Dementia","E004","E004.00"
"138","arteriosclerotic dementia nos","Vascular dementia","Dementia","E004z","E004z00"
"139","arteriosclerotic dementia with delirium","Vascular dementia","Dementia","E0041","E004100"
"140","arteriosclerotic dementia with paranoia","Vascular dementia","Dementia","E0042","E004200"
"142","ataxia-telangiectasia","Ataxic disorders","Ataxic disorders","F14y0","F14y000"
"143","ataxic diplegic cerebral palsy","Cerebral palsy","Cerebral palsy","F23y4","F23y400"
"144","ataxic infantile cerebral palsy","Cerebral palsy","Cerebral palsy","F23y0","F23y000"
"145","athetoid cerebral palsy","Cerebral palsy","Cerebral palsy","F137-1","F137.11"
"146","athetoid cerebral palsy","Cerebral palsy","Cerebral palsy","F1370","F137000"
"147","basal nucleus haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G612","G612.00"
"148","basilar artery occlusion","Cerebral ischaemia","Cerebrovascular disease","G630","G630.00"
"149","basilar artery syndrome","TIA","Cerebrovascular disease","G650","G650.00"
"150","benign multiple sclerosis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F204","F204.00"
"151","benign rolandic epilepsy","Epilepsy","Epilepsy or seizures","F25y4","F25y400"
"152","bilirubin encephalopathy","Exclude","Exclude","Q4370","Q437000"
"153","brachial plexus palsy due to birth trauma","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","Q206","Q206.00"
"154","brain stem stroke syndrome","Vascular syndromes of brain in cerebrovascular diseases","Cerebrovascular disease","G663","G663.00"
"155","brainstem infarction","Cerebral ischaemia","Cerebrovascular disease","G64z0","G64z000"
"156","brainstem infarction nos","Cerebral ischaemia","Cerebrovascular disease","G64z-1","G64z.11"
"157","bulbar haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G615","G615.00"
"158","carotid artery disease","Cerebral ischaemia","Cerebrovascular disease","G70y0-1","G70y011"
"159","carotid artery doppler abnormal","Cerebral ischaemia","Cerebrovascular disease","5C10","5C10.00"
"160","carotid artery occlusion","Cerebral ischaemia","Cerebrovascular disease","G631","G631.00"
"161","carotid artery stenosis","Cerebral ischaemia","Cerebrovascular disease","G634","G634.00"
"162","carotid artery syndrome hemispheric","Cerebral ischaemia","Cerebrovascular disease","G653","G653.00"
"163","carotid endarterectomy and patch","Cerebral ischaemia","Cerebrovascular disease","7A203-1","7A20311"
"164","cauda equina injury without bony injury","Cauda equina syndrome","Spinal cord disorders","SJ24","SJ24.00"
"165","cauda equina syndrome","Cauda equina syndrome","Spinal cord disorders","F246","F246.00"
"166","cauda equina syndrome nos","Cauda equina syndrome","Spinal cord disorders","F246z","F246z00"
"167","cauda equina syndrome not affecting bladder","Cauda equina syndrome","Spinal cord disorders","F2460","F246000"
"168","cauda equina syndrome with cord bladder","Cauda equina syndrome","Spinal cord disorders","F2461","F246100"
"169","cause of learning disabilities: congenital hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","EMISNQCA49",""
"170","central demyelination of corpus callosum","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F21y3","F21y300"
"171","central nervous system demyelination nos","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F21z","F21z.00"
"172","central post-stroke pain","Cerebral ischaemia","Cerebrovascular disease","1M4","1M4..00"
"173","central post-stroke pain","Cerebral ischaemia","Cerebrovascular disease","EMISNQCE10",""
"174","cereb infarct due cerebral venous thrombosis, nonpyogenic","Cerebral ischaemia","Cerebrovascular disease","G6760","G676000"
"175","cereb infarct due cerebral venous thrombosis, nonpyogenic","Cerebral ischaemia","Cerebrovascular disease","G6760","G676000"
"176","cereb infarct due unsp occlus/stenos precerebr arteries","Cerebral ischaemia","Cerebrovascular disease","G6W","G6W..00"
"177","cerebellar (nontraum) and post fossa haemorhage fet newborn","Ataxic disorders","Ataxic disorders","Q4171","Q417100"
"178","cerebellar abscess","Ataxic disorders","Ataxic disorders","F0401-1","F040111"
"180","cerebellar ataxia due to alcoholism","Ataxic disorders","Ataxic disorders","F1440","F144000"
"181","cerebellar ataxia in disease nos","Ataxic disorders","Ataxic disorders","F144z","F144z00"
"182","cerebellar ataxia in diseases ec","Ataxic disorders","Ataxic disorders","F144","F144.00"
"183","cerebellar ataxia nos","Ataxic disorders","Ataxic disorders","F143","F143.00"
"184","cerebellar disease","Ataxic disorders","Ataxic disorders","F14-1","F14..11"
"185","cerebellar haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G613","G613.00"
"186","cerebellar hypoplasia","Ataxic disorders","Ataxic disorders","P22z-1","P22z.11"
"187","cerebellar infarction","Cerebral ischaemia","Cerebrovascular disease","G64z-2","G64z.12"
"188","cerebellar stroke syndrome","Vascular syndromes of brain in cerebrovascular diseases","Cerebrovascular disease","G664","G664.00"
"189","cerebral arterial occlusion","Cerebral ischaemia","Cerebrovascular disease","G64","G64..00"
"190","cerebral ataxia","Ataxic disorders","Ataxic disorders","F11y1","F11y100"
"191","cerebral degeneration due to cerebrovascular disease","Cerebral ischaemia","Cerebrovascular disease","F11x2","F11x200"
"192","cerebral degeneration due to multifocal leucoencephalopathy","Cerebral ischaemia","Cerebrovascular disease","F11x8","F11x800"
"193","cerebral degeneration in hunters disease","Cerebral ischaemia","Cerebrovascular disease","F1030","F103000"
"194","cerebral degeneration nos","Cerebral ischaemia","Cerebrovascular disease","F11z","F11z.00"
"195","cerebral degenerations usually manifest in childhood","Cerebral ischaemia","Cerebrovascular disease","F10","F10..00"
"196","cerebral embolism","Cerebral ischaemia","Cerebrovascular disease","G641","G641.00"
"197","cerebral embolus","Cerebral ischaemia","Cerebrovascular disease","G641-1","G641.11"
"198","cerebral infarct due to thrombosis of precerebral arteries","Cerebral ischaemia","Cerebrovascular disease","G63y0","G63y000"
"199","cerebral infarction due to embolism of cerebral arteries","Cerebral ischaemia","Cerebrovascular disease","G6410","G641000"
"200","cerebral infarction due to embolism of precerebral arteries","Cerebral ischaemia","Cerebrovascular disease","G63y1","G63y100"
"201","cerebral infarction due to thrombosis of cerebral arteries","Cerebral ischaemia","Cerebrovascular disease","G6400","G640000"
"202","cerebral infarction nos","Cerebral ischaemia","Cerebrovascular disease","G64z","G64z.00"
"203","cerebral palsy","Cerebral palsy","Cerebral palsy","F2B","F2B..00"
"204","cerebral palsy nos","Cerebral palsy","Cerebral palsy","F2Bz","F2Bz.00"
"205","cerebral palsy with spastic diplegia","Cerebral palsy","Cerebral palsy","F2301","F230100"
"206","cerebral palsy, not congenital or infantile, acute","Cerebral palsy","Cerebral palsy","G669","G669.00"
"207","cerebral palsy, not congenital or infantile, acute","Cerebral palsy","Cerebral palsy","G669","G669.00"
"208","cerebral thrombosis","Cerebral ischaemia","Cerebrovascular disease","G640","G640.00"
"209","cerebral venous thrombosis","Cerebral ischaemia","Cerebrovascular disease","EMISNQCE11",""
"210","cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","Cerebral ischaemia","Cerebrovascular disease","G6X","G6X..00"
"211","cerebrovascular accident care plan","Cerebral ischaemia","Cerebrovascular disease","EMISNQCE16",""
"212","cerebrovascular disease","Cerebrovascular disease","Cerebrovascular disease","G6","G6...00"
"213","cerebrovascular disease management","Cerebrovascular disease","Cerebrovascular disease","TESTPCE1",""
"214","cerebrovascular disease monitoring default","Cerebrovascular disease","Cerebrovascular disease","EMISNQCE29",""
"215","cerebrovascular disease nos","Cerebrovascular disease","Cerebrovascular disease","G6z","G6z..00"
"216","cerebrovascular system anomalies","Cerebrovascular disease","Cerebrovascular disease","P7y0","P7y0.00"
"217","childhood cerebral degenerations nos","Ataxic disorders","Ataxic disorders","F10z","F10z.00"
"218","choreoathetoid cerebral palsy","Cerebral palsy","Cerebral palsy","F23y6","F23y600"
"219","closed injury cauda equina","Cauda equina syndrome","Spinal cord disorders","SJ240","SJ24000"
"220","communicating hydrocephalus - acquired nos","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F113z","F113z00"
"221","complex partial epileptic seizure","Epilepsy","Epilepsy or seizures","F2545","F254500"
"222","complex partial status epilepticus","Epilepsy","Epilepsy or seizures","F25y3","F25y300"
"223","congenital cerebral palsy","Cerebral palsy","Cerebral palsy","F23","F23..00"
"224","congenital cerebral palsy nos","Cerebral palsy","Cerebral palsy","F23z","F23z.00"
"225","congenital diplegia","Cerebral palsy","Cerebral palsy","F230","F230.00"
"226","congenital diplegia nos","Cerebral palsy","Cerebral palsy","F230z","F230z00"
"227","congenital hemiplegia","Cerebral palsy","Cerebral palsy","F231","F231.00"
"228","congenital hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P23","P23..00"
"229","congenital hydrocephalus nos","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P23z","P23z.00"
"230","congenital monoplegia","Cerebral palsy","Cerebral palsy","F233","F233.00"
"231","congenital paraplegia","Cerebral palsy","Cerebral palsy","F2300","F230000"
"232","congenital quadriplegia","Cerebral palsy","Cerebral palsy","F232","F232.00"
"233","congenital spastic cerebral palsy","Cerebral palsy","Cerebral palsy","F23-1","F23..11"
"234","contraceptiv advice for patients with epilepsy not indicated","Epilepsy","Epilepsy or seizures","8IB2","8IB2.00"
"235","contraceptive advice for patients on valproate for epilepsy","Epilepsy","Epilepsy or seizures","EMISNQCO292",""
"236","contraceptive advice for patients with epilepsy declined","Epilepsy","Epilepsy or seizures","8IAg","8IAg.00"
"237","correction of erbs palsy","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","7L0D1-1","7L0D111"
"238","cortical haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G610","G610.00"
"239","cva - cerebral artery occlusion","Cerebral ischaemia","Cerebrovascular disease","G64-1","G64..11"
"240","cva - cerebrovascular accid due to intracerebral haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G61-1","G61..11"
"241","cva - cerebrovascular accident in the puerperium","Cerebral ischaemia","Cerebrovascular disease","L440-1","L440.11"
"242","cva - cerebrovascular accident unspecified","Cerebral ischaemia","Cerebrovascular disease","G66-3","G66..13"
"243","cva unspecified","Cerebral ischaemia","Cerebrovascular disease","G66-1","G66..11"
"244","daily seizures","Epilepsy","Epilepsy or seizures","667T","667T.00"
"245","delivery of rehabilitation for stroke","Cerebral ischaemia","Cerebrovascular disease","7P242","7P24200"
"246","dementia care plan","Dementia unknown/unspecified/other","Dementia","EMISNQDE37",""
"247","dementia care plan","Dementia unknown/unspecified/other","Dementia","8CMZ","8CMZ.00"
"248","dementia confirmed","Dementia unknown/unspecified","Dementia","EMISNQDE35",""
"249","dementia in alzheimers dis, atypical or mixed type, other mixed symptoms","Alzheimer's disease","Dementia","EMISICD10|F0024",""
"250","dementia in conditions ec","Dementia unknown/unspecified/other","Dementia","E041","E041.00"
"251","dementia link worker - mental health cpn","Dementia unknown/unspecified/other","Dementia","EMISNQDE117",""
"252","dementia monitoring","Dementia unknown/unspecified/other","Dementia","66h","66h..00"
"253","dementia monitoring administration","Dementia unknown/unspecified/other","Dementia","9Ou","9Ou..00"
"254","dementia monitoring first letter","Dementia unknown/unspecified/other","Dementia","9Ou1","9Ou1.00"
"255","dementia monitoring in primary care","Dementia unknown/unspecified/other","Dementia","EMISNQDE41",""
"256","dementia monitoring in secondary care","Dementia unknown/unspecified/other","Dementia","EMISNQDE42",""
"257","dementia monitoring second letter","Dementia unknown/unspecified/other","Dementia","9Ou2","9Ou2.00"
"258","dementia monitoring third letter","Dementia unknown/unspecified/other","Dementia","9Ou3","9Ou3.00"
"259","dementia monitoring verbal invite","Dementia unknown/unspecified/other","Dementia","9Ou4","9Ou4.00"
"260","dementia review","Dementia unknown/unspecified/other","Dementia","EMISNQDE1",""
"261","dementia review with third party","Dementia unknown/unspecified/other","Dementia","EMISNQDE2",""
"262","dementia stage at diagnosis - early (mild)","Dementia unknown/unspecified/other","Dementia","EMISNQDE68",""
"263","dementia stage at diagnosis - late (severe)","Dementia unknown/unspecified/other","Dementia","EMISNQDE70",""
"264","dementia stage at diagnosis - mid (moderate)","Dementia unknown/unspecified/other","Dementia","EMISNQDE69",""
"265","did not attend dementia monitoring","Dementia unknown/unspecified/other","Dementia","EMISNQDI117",""
"266","diplegia of upper limbs","Paralytic symptoms","Paralysis","F242","F242.00"
"267","discharge from community stroke service","Cerebral ischaemia","Cerebrovascular disease","EMISNQDI251",""
"268","drug-induced chorea","Chorea","Movement disorders other","F1352","F135200"
"269","drug-induced dementia","Dementia unknown/unspecified/other","Dementia","E02y1","E02y100"
"270","drug induced parkinsonism","Parkinson's Disease","Parkinsonism other","F121-1","F121.11"
"271","dyskinetic cerebral palsy","Cerebral palsy","Cerebral palsy","F23y3","F23y300"
"272","emergency epilepsy treatment since last appointment","Epilepsy","Epilepsy or seizures","667W","667W.00"
"273","encephalopathy - hepatic","Exclude","Exclude","J622-1","J622.11"
"274","endarterectomy and patch repair of carotid artery","Cerebral ischaemia","Cerebrovascular disease","7A203","7A20300"
"275","endarterectomy of carotid artery nec","Cerebral ischaemia","Cerebrovascular disease","7A204","7A20400"
"276","epilepsy","Epilepsy","Epilepsy or seizures","F25","F25..00"
"277","epilepsy associated problems","Epilepsy","Epilepsy or seizures","6674","6674.00"
"278","epilepsy associated problems","Epilepsy","Epilepsy or seizures","PC0678",""
"279","epilepsy care arrangement","Epilepsy","Epilepsy or seizures","667E","667E.00"
"280","epilepsy confirmed","Epilepsy","Epilepsy or seizures","1O30","1O30.00"
"281","epilepsy control good","Epilepsy","Epilepsy or seizures","667C","667C.00"
"282","epilepsy control poor","Epilepsy","Epilepsy or seizures","667D","667D.00"
"283","epilepsy drug side effects","Epilepsy","Epilepsy or seizures","6677","6677.00"
"284","epilepsy drug side effects","Epilepsy","Epilepsy or seizures","PC0681",""
"285","epilepsy limits activities","Epilepsy","Epilepsy or seizures","667K","667K.00"
"286","epilepsy management plan given","Epilepsy","Epilepsy or seizures","667M","667M.00"
"287","epilepsy medication review","Epilepsy","Epilepsy or seizures","8BIF","8BIF.00"
